Player,Nation,Pos,Squad,Comp,Age,Born,90s,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,MP,Starts,Min,PK,PK_Attempted,Goals_per90,Assists_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net
Jodel Dossou,bj BEN,FW,Clermont Foot,fr Ligue 1,29,1992,22.3,34.9,1.61,0.76,0.67,0.63,0.31,0.67,1.93,1.26,0.63,0.0,0.63,0.22,1.84,0.31,0.0,2.96,0.27,1.88,0.0,0.63,0.22,0.22,0.0,0.09,0.0,0.13,0.04,0.0,0.0,69.6,83.7,63.9,55.9,17.98,25.83,242.87,71.48,11.3,13.5,4.53,7.09,0.85,1.52,0.1,0.13,-0.05,0.99,2.02,1.12,0.45,3.36,25.83,25.16,0.54,0.09,0.0,0.0,2.69,0.4,0.04,0.0,0.0,0.0,17.98,0.13,1.75,35,23,"2,008",0,0,0.13,0.04,0.18,0.13,0.18,0.22,0.1,0.32,0.22,0.32,0.18,0.0,4.66,3.36,8.57,52.7,47.3,38.43,0.58,4.98,14.57,19.55,3.99,38.43,3.32,1.75,1.57,28.07,201.52,104.84,4.66,2.2,1.61,3.14,1.84,28.43,8.57,32.7,2.33,0.76,0.06,0.18,17.1,0,0,0,5.0,5.0,0.1,-2.0,-2.0
Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,28,1993,28.2,45.1,2.66,1.52,1.06,1.31,0.28,1.13,2.52,1.38,1.17,0.28,0.89,0.99,3.65,1.13,0.0,2.02,0.25,1.77,0.0,0.11,0.11,0.0,0.04,0.18,0.0,0.04,0.04,0.0,0.0,78.8,84.3,84.3,62.5,30.64,38.9,452.87,108.44,17.38,20.6,10.5,12.45,1.6,2.55,0.07,0.05,0.07,0.67,2.87,0.67,0.0,4.01,38.9,38.23,0.6,0.39,0.11,0.11,0.39,0.04,0.0,0.0,0.0,0.0,30.64,0.07,1.13,30,29,"2,537",0,0,0.07,0.14,0.21,0.07,0.21,0.08,0.07,0.15,0.08,0.15,0.21,0.0,1.17,4.01,1.91,51.2,48.8,49.29,2.23,11.67,26.42,12.02,1.56,49.29,1.45,0.74,0.71,24.61,124.11,62.77,1.17,0.99,0.21,1.52,0.78,27.09,1.91,32.4,1.21,0.39,0.06,0.18,17.9,0,0,0,2.2,2.2,0.06,-0.2,-0.2
Cheick Doucouré,ml MLI,MF,Lens,fr Ligue 1,21,2000,32.7,44.3,2.29,1.31,1.04,1.04,0.21,1.07,2.42,1.35,0.92,0.21,0.7,2.08,4.37,0.73,0.0,2.93,0.28,2.54,0.0,0.09,0.12,0.09,0.09,0.21,0.0,0.0,0.06,0.0,0.0,87.0,90.1,89.5,78.4,50.64,58.23,849.33,247.98,22.94,25.44,21.99,24.56,3.88,4.95,0.11,0.09,0.01,1.25,6.48,0.7,0.0,8.13,58.23,57.4,0.67,0.67,0.49,0.37,0.18,0.0,0.0,0.0,0.0,0.0,50.64,0.15,0.73,34,33,"2,946",0,0,0.03,0.12,0.15,0.03,0.15,0.05,0.11,0.16,0.05,0.16,0.21,0.03,1.65,8.13,0.98,71.9,28.1,67.06,1.41,11.9,45.38,10.52,0.52,67.06,0.98,0.7,0.28,44.8,246.85,134.04,1.65,1.59,0.06,1.1,0.89,48.59,0.98,35.5,0.95,0.34,0.03,0.09,22.9,0,0,0,1.6,1.6,0.05,-0.6,-0.6
Souleyman Doumbia,ci CIV,"DF,FW",Angers,fr Ligue 1,24,1996,24.7,48.1,1.21,0.81,0.65,0.36,0.2,0.53,1.09,0.57,1.01,0.16,0.85,1.58,2.79,2.06,0.0,1.7,0.04,1.3,0.08,0.16,0.04,0.12,0.0,0.04,0.0,0.0,0.0,0.0,0.0,81.8,90.5,86.0,46.3,35.87,43.85,554.98,149.64,18.95,20.93,14.62,17.0,1.54,3.32,0.09,0.09,-0.04,0.57,1.74,0.73,0.53,2.19,43.85,36.19,7.49,0.2,0.0,0.08,2.79,7.29,0.0,0.0,0.0,0.0,35.87,0.16,1.05,27,27,"2,219",0,0,0.0,0.04,0.04,0.0,0.04,0.03,0.09,0.12,0.03,0.12,0.4,0.04,2.67,2.19,5.95,52.3,47.7,56.52,2.83,16.19,25.71,15.51,1.17,56.52,3.48,1.82,1.66,35.18,219.64,107.45,2.67,1.9,0.49,2.15,0.97,34.7,5.95,21.4,0.57,0.12,0.0,0.0,20.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8
Kieran Dowell,eng ENG,"FW,MF",Norwich City,eng Premier League,23,1997,10.1,28.1,1.78,0.69,0.79,0.69,0.3,0.89,3.17,2.28,0.99,0.1,0.89,0.69,2.48,0.4,0.0,2.57,0.1,1.88,0.69,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,66.8,78.3,77.5,35.8,22.08,33.07,348.22,105.74,12.18,15.54,6.83,8.81,1.88,5.25,0.15,0.1,-0.05,1.58,2.08,0.89,0.3,3.07,33.07,30.1,2.77,1.09,0.3,0.5,3.76,0.1,1.58,1.29,0.2,0.0,22.08,0.2,1.19,19,11,912,0,0,0.1,0.1,0.2,0.1,0.2,0.1,0.15,0.26,0.1,0.26,0.0,0.0,1.39,3.07,4.85,50.0,50.0,41.09,0.59,5.94,16.93,18.71,1.29,41.09,1.39,0.69,0.69,21.58,107.52,43.27,1.39,0.79,0.3,1.29,1.49,28.12,4.85,25.0,0.79,0.2,0.13,0.5,20.8,3,0,0,1.1,1.1,0.13,-0.1,-0.1
Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16.0,100.0,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.2,96.2,99.2,43.6,16.69,26.0,526.12,388.06,1.56,1.62,8.12,8.19,7.0,16.06,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,26.0,14.88,11.06,2.75,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,16.69,0.06,0.0,16,16,"1,440",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25,24.44,28.06,0.19,0.0,0.0,28.25,0.0,0.0,0.0,14.0,68.0,43.38,0.0,0.06,0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Domingos Duarte,pt POR,DF,Granada,es La Liga,26,1995,18.7,54.5,0.96,0.75,0.48,0.48,0.0,0.32,0.59,0.27,1.44,1.07,0.37,1.18,2.14,4.39,0.0,0.53,0.0,0.43,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8,84.7,84.9,56.1,30.32,39.47,636.74,275.51,9.73,11.5,15.29,18.02,4.92,8.77,0.03,0.01,-0.03,0.16,1.98,0.05,0.0,2.35,39.47,37.54,1.76,1.6,0.0,0.37,0.05,0.16,0.0,0.0,0.0,0.0,30.32,0.16,0.37,21,19,"1,687",0,0,0.05,0.0,0.05,0.05,0.05,0.05,0.03,0.08,0.05,0.08,0.37,0.05,0.21,2.35,0.16,66.7,33.3,48.45,7.43,26.2,21.23,1.28,0.8,48.45,0.16,0.11,0.05,21.87,103.64,53.9,0.21,0.21,0.0,0.32,0.05,25.94,0.16,16.7,0.32,0.05,0.17,1.0,9.2,0,0,0,0.9,0.9,0.16,0.1,0.1
Óscar Duarte,cr CRC,DF,Levante,es La Liga,32,1989,19.7,34.8,0.91,0.41,0.61,0.3,0.0,0.41,1.17,0.76,0.91,0.46,0.46,1.22,2.13,5.18,0.0,0.46,0.0,0.3,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,83.2,91.9,86.9,67.4,40.96,49.24,852.39,368.78,12.74,13.86,20.91,24.06,6.6,9.8,0.02,0.01,-0.02,0.15,1.88,0.0,0.0,2.23,49.24,46.6,2.39,2.18,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,40.96,0.25,0.2,23,20,"1,773",0,0,0.1,0.0,0.1,0.1,0.1,0.06,0.02,0.08,0.06,0.08,0.25,0.0,0.05,2.23,0.05,50.0,50.0,59.64,10.46,34.82,23.6,1.57,1.27,59.64,0.1,0.05,0.05,29.7,130.36,69.29,0.05,0.0,0.0,0.25,0.05,35.63,0.05,26.3,0.96,0.25,0.11,0.4,12.6,0,0,0,1.2,1.2,0.06,0.8,0.8
Rubén Duarte,es ESP,DF,Alavés,es La Liga,25,1995,29.1,50.6,2.61,1.62,1.48,0.93,0.21,1.48,2.92,1.44,1.37,0.21,1.17,1.96,4.57,2.82,0.0,1.99,0.17,1.24,0.55,0.0,0.0,0.1,0.1,0.1,0.03,0.0,0.0,0.03,0.0,66.3,86.1,70.9,34.0,30.82,46.46,524.71,266.22,15.09,17.53,12.06,17.01,3.09,9.11,0.09,0.09,0.05,0.76,2.65,0.86,0.55,2.92,46.46,34.47,11.62,0.86,0.03,0.27,4.09,10.27,0.45,0.31,0.1,0.0,30.82,0.38,1.1,34,31,"2,621",0,0,0.0,0.14,0.14,0.0,0.14,0.01,0.09,0.1,0.01,0.1,0.41,0.03,1.2,2.92,1.58,55.6,44.4,57.59,3.47,18.38,25.33,14.26,0.55,57.59,0.31,0.17,0.14,23.33,99.14,48.59,1.2,1.07,0.07,0.69,0.24,23.88,1.58,33.3,0.31,0.1,0.0,0.0,23.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,26,1994,19.4,58.7,2.22,1.39,1.13,0.72,0.36,1.39,2.37,0.98,1.39,0.15,1.24,1.13,3.35,1.8,0.05,2.32,0.26,1.75,0.31,0.0,0.15,0.05,0.05,0.15,0.0,0.0,0.05,0.05,0.0,82.4,91.8,85.4,55.7,57.99,70.41,983.92,297.32,28.14,30.67,23.45,27.47,5.26,9.43,0.05,0.1,-0.05,0.88,4.43,1.29,0.41,5.57,70.41,60.21,10.05,1.13,0.1,0.36,3.92,8.66,0.26,0.0,0.21,0.05,57.99,0.15,0.57,23,20,"1,742",0,0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.1,0.04,0.1,0.26,0.0,2.27,5.57,6.39,50.0,50.0,80.0,2.89,19.23,40.52,21.03,1.24,80.0,1.24,0.62,0.62,48.76,235.62,120.41,2.27,1.86,0.26,1.08,0.57,53.09,6.39,10.0,0.52,0.05,0.0,0.0,20.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.04,0.31,0.08,0.12,0.0,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1,100.0,97.9,44.5,20.54,32.54,723.81,569.23,2.38,2.38,8.77,8.96,9.31,20.92,0.0,0.0,0.0,0.08,0.5,0.0,0.0,0.0,32.54,19.27,13.08,4.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,20.54,0.19,0.0,26,26,"2,340",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,34.42,26.46,34.12,0.35,0.0,0.0,34.42,0.0,0.0,0.0,17.77,103.04,51.46,0.0,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ondrej Duda,sk SVK,"MF,FW",Köln,de Bundesliga,26,1994,17.9,26.1,1.28,0.89,0.22,0.67,0.39,0.34,1.28,0.95,0.78,0.11,0.67,0.95,2.23,0.5,0.0,3.41,0.11,2.07,0.34,0.5,0.17,0.28,0.06,0.06,0.0,0.06,0.0,0.0,0.0,72.4,78.0,73.9,72.3,27.43,37.88,454.41,129.05,13.24,16.98,9.16,12.4,3.35,4.64,0.12,0.12,-0.12,1.12,3.24,0.89,0.11,4.64,37.88,34.47,2.96,0.61,0.11,0.56,1.51,0.34,1.01,0.28,0.45,0.0,27.43,0.45,0.78,31,20,"1,611",0,0,0.11,0.0,0.11,0.11,0.11,0.22,0.12,0.34,0.22,0.34,0.28,0.0,1.4,4.64,4.53,56.1,43.9,50.39,0.95,4.75,27.21,19.16,2.91,50.39,3.69,2.07,1.62,30.06,145.03,51.56,1.4,0.84,0.56,3.69,1.34,33.52,4.53,33.3,2.35,0.78,0.05,0.14,19.8,0,0,0,3.9,3.9,0.1,-1.9,-1.9
Jeremy Dudziak,tn TUN,"MF,FW",Greuther Fürth,de Bundesliga,25,1995,12.6,21.4,1.35,0.48,0.4,0.63,0.32,0.24,1.11,0.87,0.63,0.0,0.63,0.79,2.14,0.32,0.0,2.46,0.32,1.67,0.16,0.08,0.16,0.4,0.0,0.08,0.0,0.08,0.0,0.16,0.0,65.1,74.2,74.7,38.5,17.62,27.06,265.0,81.59,9.37,12.62,5.87,7.86,1.19,3.1,0.09,0.11,-0.09,1.03,1.51,0.63,0.24,2.62,27.06,23.1,3.73,1.03,0.4,0.0,2.7,0.08,1.35,1.03,0.16,0.0,17.62,0.24,1.03,22,15,"1,134",0,0,0.16,0.0,0.16,0.16,0.16,0.19,0.09,0.28,0.19,0.28,0.08,0.0,1.43,2.62,4.92,42.4,57.6,36.9,0.32,4.52,17.94,15.08,2.46,36.9,2.62,1.11,1.51,19.21,114.44,47.06,1.43,1.35,0.63,2.3,1.83,21.67,4.92,25.0,1.27,0.32,0.13,0.5,14.3,0,0,0,2.4,2.4,0.16,-0.4,-0.4
Shane Duffy,ie IRL,DF,Brighton,eng Premier League,29,1992,16.0,57.1,0.94,0.75,0.75,0.19,0.0,0.5,0.88,0.38,1.5,1.12,0.38,1.0,1.94,4.75,0.06,0.56,0.06,0.44,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,87.2,89.9,93.5,66.1,56.62,64.94,1176.81,374.5,15.56,17.31,33.44,35.75,7.31,11.06,0.01,0.01,-0.01,0.25,3.12,0.06,0.0,2.56,64.94,63.62,1.25,0.75,0.0,0.62,0.06,0.5,0.0,0.0,0.0,0.0,56.62,0.06,0.19,18,15,"1,436",0,0,0.06,0.0,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,0.44,0.0,0.19,2.56,0.19,100.0,0.0,76.12,11.81,42.38,30.75,3.25,1.94,76.12,0.06,0.06,0.0,39.19,148.69,82.0,0.19,0.44,0.0,0.44,0.0,53.19,0.19,22.7,1.38,0.31,0.05,0.2,11.3,0,0,0,1.0,1.0,0.04,0.0,0.0
Denzel Dumfries,nl NED,DF,Inter,it Serie A,25,1996,22.5,50.0,1.42,0.53,0.4,0.62,0.4,0.71,1.42,0.71,0.67,0.27,0.4,0.4,1.82,1.16,0.0,2.79,0.31,2.18,0.18,0.13,0.18,0.13,0.0,0.22,0.04,0.0,0.0,0.04,0.0,73.3,83.8,73.5,50.0,28.0,38.22,435.2,128.18,14.89,17.78,10.84,14.76,1.42,2.84,0.2,0.16,-0.02,1.24,1.38,0.98,0.31,2.58,38.22,31.64,6.36,0.09,0.0,0.09,1.6,6.27,0.0,0.0,0.0,0.0,28.0,0.22,1.33,33,21,"2,028",0,0,0.22,0.18,0.4,0.22,0.4,0.23,0.19,0.43,0.23,0.43,0.13,0.0,2.44,2.58,9.07,50.0,50.0,48.36,1.56,8.89,16.71,23.24,5.64,48.36,1.33,0.67,0.67,25.24,139.38,68.44,2.44,1.07,1.2,1.73,1.02,30.36,9.07,44.7,1.69,0.75,0.13,0.29,11.3,0,0,0,5.2,5.2,0.14,-0.2,-0.2
Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,28,1993,21.5,34.4,1.58,0.88,0.6,0.74,0.23,0.51,1.49,0.98,1.49,0.14,1.35,0.47,2.05,0.33,0.0,2.33,0.19,2.09,0.05,0.0,0.09,0.05,0.05,0.19,0.0,0.0,0.0,0.0,0.0,78.1,84.2,81.6,75.6,34.42,44.05,665.53,186.74,14.14,16.79,13.86,16.98,5.63,7.44,0.09,0.08,0.0,1.21,4.7,1.26,0.42,6.0,44.05,42.7,1.07,0.51,0.19,0.93,2.05,0.42,0.14,0.05,0.0,0.0,34.42,0.28,1.21,33,21,"1,931",0,0,0.09,0.09,0.19,0.09,0.19,0.04,0.09,0.14,0.04,0.14,0.14,0.0,1.35,6.0,3.3,56.5,43.5,51.3,0.84,7.81,30.0,14.47,1.35,51.3,1.07,0.6,0.47,31.86,145.63,72.51,1.35,1.26,0.28,1.21,0.74,37.58,3.3,27.3,0.51,0.14,0.18,0.67,18.5,0,0,0,0.9,0.9,0.08,1.1,1.1
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,29,1991,28.6,45.5,0.35,0.28,0.17,0.17,0.0,0.17,0.38,0.21,1.12,0.98,0.14,0.94,1.29,3.95,0.1,0.7,0.1,0.56,0.03,0.0,0.1,0.0,0.0,0.07,0.03,0.0,0.0,0.0,0.0,88.2,91.9,94.6,67.5,60.35,68.46,1254.37,408.74,16.33,17.76,35.63,37.66,7.97,11.82,0.01,0.01,-0.01,0.1,3.04,0.14,0.03,2.9,68.46,65.91,2.41,2.17,0.0,0.56,0.1,0.21,0.0,0.0,0.0,0.0,60.35,0.14,0.14,29,29,"2,573",0,0,0.03,0.0,0.03,0.03,0.03,0.05,0.01,0.06,0.05,0.06,0.1,0.03,0.49,2.9,0.1,100.0,0.0,76.82,9.83,41.26,33.18,2.66,1.29,76.82,0.14,0.14,0.0,45.66,207.48,100.1,0.49,0.24,0.07,0.38,0.1,55.07,0.1,36.8,0.66,0.24,0.05,0.14,10.8,0,0,0,1.3,1.3,0.07,-0.3,-0.3
Hugo Duro,es ESP,"FW,MF",Valencia,es La Liga,21,1999,20.4,39.5,1.23,0.93,0.54,0.64,0.05,0.74,1.86,1.13,1.18,0.1,1.08,0.2,1.42,0.98,0.05,1.67,0.34,1.03,0.05,0.15,0.05,0.34,0.05,0.1,0.0,0.05,0.05,0.1,0.05,69.3,71.0,76.0,46.7,13.28,19.17,159.17,32.89,7.3,10.29,3.58,4.71,0.34,0.74,0.03,0.04,0.01,0.69,0.59,0.15,0.0,1.03,19.17,17.99,1.03,0.05,0.0,0.0,0.59,0.15,0.0,0.0,0.0,0.0,13.28,0.15,0.59,30,22,"1,834",0,0,0.34,0.05,0.39,0.34,0.39,0.17,0.03,0.2,0.17,0.2,0.15,0.05,0.59,1.03,4.26,52.0,48.0,30.54,1.18,4.17,12.3,14.22,2.94,30.54,1.23,0.64,0.59,16.27,58.63,22.25,0.59,0.74,0.39,2.79,1.57,20.25,4.26,48.4,1.52,0.74,0.23,0.47,11.7,0,0,0,3.5,3.5,0.11,3.5,3.5
Jean-Kevin Duverne,ht HAI,DF,Brest,fr Ligue 1,24,1997,33.4,46.7,2.13,1.32,1.29,0.63,0.21,1.26,2.69,1.44,1.2,0.15,1.05,1.59,3.71,2.75,0.0,1.74,0.18,1.35,0.12,0.15,0.0,0.06,0.06,0.15,0.0,0.03,0.0,0.0,0.0,74.4,84.0,76.2,55.9,39.7,53.35,721.26,322.4,18.68,22.25,15.09,19.79,5.12,9.16,0.07,0.06,0.02,0.75,4.52,0.81,0.51,5.06,53.35,44.07,9.19,0.84,0.0,0.39,2.22,8.35,0.0,0.0,0.0,0.0,39.7,0.09,0.78,37,33,"3,007",0,0,0.03,0.09,0.12,0.03,0.12,0.03,0.07,0.1,0.03,0.1,0.03,0.0,2.28,5.06,3.2,45.2,54.8,64.4,3.77,20.9,31.02,12.84,0.93,64.4,1.26,0.57,0.69,35.15,200.06,110.18,2.28,1.47,0.18,1.38,0.63,36.08,3.2,25.0,0.36,0.09,0.08,0.33,17.1,0,0,0,1.0,1.0,0.08,0.0,0.0
Paulo Dybala,ar ARG,"FW,MF",Juventus,it Serie A,27,1993,22.9,22.9,1.31,0.57,0.31,0.61,0.39,0.35,1.53,1.18,0.83,0.0,0.83,0.39,1.7,0.17,0.13,4.93,0.57,3.19,0.52,0.44,0.31,0.35,0.13,0.44,0.13,0.0,0.0,0.0,0.0,80.2,87.3,85.7,66.3,39.83,49.65,669.21,138.17,20.74,23.76,13.06,15.24,4.63,6.99,0.2,0.17,0.02,1.66,3.1,1.18,0.26,4.5,49.65,44.1,5.24,1.27,0.39,1.09,2.88,0.44,1.75,0.52,0.87,0.0,39.83,0.31,1.18,29,26,"2,061",1,2,0.44,0.22,0.66,0.39,0.61,0.33,0.2,0.53,0.26,0.46,0.13,0.0,2.18,4.5,6.77,59.5,40.5,63.36,0.22,6.77,30.13,27.42,3.76,63.28,3.45,2.05,1.4,39.69,204.89,81.18,2.18,1.83,1.05,3.06,1.22,48.03,6.77,37.1,4.24,1.57,0.09,0.25,23.0,10,1,2,7.6,6.0,0.06,2.4,3.0
Edin Džeko,ba BIH,FW,Inter,it Serie A,35,1986,27.4,32.0,0.51,0.29,0.26,0.15,0.11,0.29,0.91,0.62,0.8,0.18,0.62,0.15,0.66,1.28,0.0,3.35,0.62,2.77,0.0,0.11,0.26,0.18,0.04,0.51,0.0,0.0,0.07,0.04,0.0,70.6,77.1,72.8,64.4,20.73,29.34,340.04,88.61,11.06,14.34,6.64,9.12,2.12,3.28,0.14,0.1,0.08,1.39,2.19,1.24,0.26,3.91,29.34,28.25,1.06,0.04,0.07,0.4,1.28,0.07,0.0,0.0,0.0,0.0,20.73,0.04,1.02,36,27,"2,469",0,0,0.47,0.22,0.69,0.47,0.69,0.54,0.14,0.68,0.54,0.68,0.07,0.0,1.72,3.91,7.55,41.5,58.5,41.57,1.79,4.42,18.36,19.12,6.5,41.57,1.5,0.62,0.88,22.41,115.58,53.07,1.72,0.95,0.84,2.85,1.13,32.52,7.55,42.5,3.17,1.35,0.15,0.35,11.2,0,0,0,14.8,14.8,0.17,-1.8,-1.8
Enzo Ebosse,cm CMR,DF,Angers,fr Ligue 1,22,1999,21.0,57.9,1.19,0.67,0.9,0.29,0.0,0.52,0.9,0.38,0.9,0.43,0.48,0.71,1.9,2.0,0.0,1.24,0.05,0.86,0.0,0.05,0.0,0.29,0.05,0.05,0.0,0.0,0.0,0.0,0.0,83.9,88.2,89.4,64.4,43.38,51.71,790.1,283.95,17.1,19.38,20.9,23.38,4.57,7.1,0.03,0.02,-0.03,0.43,2.14,0.24,0.14,2.62,51.71,48.43,3.24,1.43,0.05,0.24,0.76,1.81,0.0,0.0,0.0,0.0,43.38,0.05,0.62,27,21,"1,890",0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,0.05,0.0,1.24,2.62,0.86,60.0,40.0,59.33,4.1,25.52,30.38,4.0,0.29,59.33,0.71,0.43,0.29,40.76,222.71,117.57,1.24,0.71,0.0,1.0,0.1,40.19,0.86,0.0,0.14,0.0,0.0,0.0,17.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Tyronne Ebuehi,ng NGA,DF,Venezia,it Serie A,25,1995,12.6,55.6,2.22,0.95,1.27,0.63,0.32,0.79,1.43,0.63,1.03,0.24,0.79,1.27,3.49,3.02,0.08,1.5,0.0,1.43,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,85.8,80.2,62.5,31.11,40.16,510.95,172.46,15.32,17.86,12.54,15.63,2.38,3.81,0.03,0.04,-0.03,0.4,1.27,0.71,0.4,2.3,40.16,32.3,7.86,0.4,0.0,0.0,2.22,7.46,0.0,0.0,0.0,0.0,31.11,0.0,1.59,19,12,"1,138",0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,0.08,0.08,2.3,2.3,4.13,55.0,45.0,51.98,3.97,22.14,17.86,12.54,1.27,51.98,1.59,0.87,0.71,23.25,143.17,73.33,2.3,1.59,0.24,1.19,0.4,26.19,4.13,14.3,0.55,0.08,0.0,0.0,14.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37.0,0.0,0.05,0.03,0.05,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.32,0.0,0.05,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,90.1,100.0,99.2,67.1,27.46,30.49,615.92,397.97,7.57,7.57,14.03,14.14,5.73,8.54,0.0,0.0,0.0,0.0,0.19,0.03,0.0,0.08,30.49,25.7,4.73,0.97,0.03,0.05,0.0,0.03,0.0,0.0,0.0,0.0,27.46,0.05,0.05,37,37,"3,330",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,31.59,24.49,31.32,0.27,0.0,0.0,31.59,0.0,0.0,0.0,21.49,92.57,59.84,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
