Player,Nation,Pos,Squad,Comp,Age,Born,90s,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,Assists_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,MP,Starts,Min,PK,PK_Attempted,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net
Milos Kerkez,hu HUN,DF,Bournemouth,eng Premier League,19.0,2003.0,21.9,71.4,2.15,1.19,1.42,0.59,0.14,1.37,1.92,0.55,1.42,0.5,0.91,0.91,3.06,2.74,0.09,1.46,0.18,1.14,0.0,0.0,0.18,0.09,0.05,0.09,0.0,0.0,0.0,0.05,0.05,72.6,85.9,71.2,45.7,27.99,38.54,447.99,154.79,14.7,17.12,10.82,15.21,1.96,4.29,0.05,0.04,0.05,0.01,0.55,1.55,0.64,0.41,2.01,38.54,30.91,7.53,0.23,0.05,0.14,2.51,7.31,0.0,0.0,0.0,0.0,27.99,0.09,0.91,28,22,"1,970",0,0,0.0,0.05,0.0,0.05,0.06,0.04,0.09,0.06,0.09,0.18,0.05,2.1,2.01,4.25,44.4,44.4,50.0,3.7,16.94,17.63,16.07,1.42,50.0,1.23,0.55,0.55,23.65,145.75,73.84,2.1,1.28,0.37,1.32,0.46,24.57,4.25,31.3,0.73,0.23,0.0,0.0,19.3,0.0,0,0,1.2,1.2,0.08,-1.2,-1.2
Reda Khadra,de GER,"FW,MF",Reims,fr Ligue 1,22.0,2001.0,15.2,40.0,1.05,0.66,0.33,0.26,0.46,0.53,1.32,0.79,0.53,0.13,0.39,0.2,1.25,0.86,0.0,3.03,0.46,2.17,0.07,0.39,0.33,0.07,0.0,0.26,0.0,0.2,0.0,0.0,0.0,74.3,80.9,79.2,51.2,19.01,25.59,307.63,76.91,8.62,10.66,7.76,9.8,1.38,2.7,0.2,0.23,0.16,-0.03,1.45,1.38,1.25,0.59,2.63,25.59,22.83,2.63,0.46,0.26,0.13,3.03,1.25,0.59,0.26,0.13,0.0,19.01,0.13,0.99,29,14,"1,368",0,0,0.07,0.26,0.07,0.26,0.12,0.23,0.35,0.12,0.35,0.07,0.0,2.3,2.63,7.24,46.7,51.7,36.58,0.72,5.46,13.09,19.54,2.7,36.58,3.95,1.84,2.04,27.3,201.64,76.71,2.3,2.17,0.92,2.7,2.3,25.46,7.24,52.2,1.51,0.79,0.04,0.08,19.2,1.0,0,0,1.8,1.8,0.08,-0.8,-0.8
Wahbi Khazri,tn TUN,FW,Montpellier,fr Ligue 1,32.0,1991.0,12.6,40.0,1.9,1.35,0.63,0.95,0.32,1.11,2.78,1.67,0.79,0.0,0.79,0.24,2.14,0.56,0.0,2.07,0.16,1.19,0.08,0.32,0.16,0.32,0.0,0.08,0.0,0.0,0.08,0.0,0.0,71.4,76.6,72.4,59.6,18.02,25.24,308.89,96.43,8.57,11.19,5.63,7.78,2.22,3.73,0.0,0.1,0.06,-0.1,0.79,1.67,0.4,0.16,2.62,25.24,23.65,1.43,0.24,0.24,1.11,0.87,0.56,0.32,0.16,0.08,0.0,18.02,0.16,0.87,25,13,"1,131",0,0,0.08,0.08,0.08,0.08,0.26,0.1,0.36,0.26,0.36,0.48,0.0,2.14,2.62,6.03,36.8,60.5,38.33,1.11,5.32,18.49,15.24,4.13,38.33,3.02,1.11,1.83,28.81,185.63,81.83,2.14,1.75,0.79,2.46,1.11,27.86,6.03,35.7,3.34,1.19,0.02,0.07,21.3,0.0,0,0,3.3,3.3,0.08,-2.3,-2.3
Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,29.0,1994.0,14.9,65.4,2.35,1.48,1.01,1.28,0.07,1.14,1.74,0.6,0.81,0.34,0.47,1.48,3.83,2.55,0.0,0.54,0.0,0.4,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,73.1,83.3,77.6,42.2,22.08,30.2,352.89,86.38,10.74,12.89,9.06,11.68,1.28,3.02,0.0,0.01,0.03,-0.01,0.34,1.41,0.34,0.07,2.35,30.2,29.26,0.81,0.4,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,22.08,0.13,0.81,20,18,"1,343",0,0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,0.34,0.07,0.4,2.35,1.01,50.0,37.5,40.27,2.89,13.29,22.62,4.7,0.4,40.27,0.54,0.27,0.2,13.15,66.71,19.87,0.4,0.34,0.0,0.81,0.6,17.79,1.01,33.3,0.2,0.07,0.0,0.0,17.5,0.0,0,0,0.4,0.4,0.13,-0.4,-0.4
Kiké,es ESP,"FW,MF",Alavés,es La Liga,33.0,1989.0,15.8,44.4,0.51,0.25,0.13,0.19,0.19,0.25,0.57,0.32,1.01,0.32,0.7,0.06,0.57,0.76,0.0,2.53,0.38,1.65,0.0,0.32,0.25,0.32,0.0,0.19,0.0,0.13,0.0,0.06,0.0,66.4,71.4,70.5,57.9,12.66,19.05,188.16,37.28,6.65,9.3,4.24,6.01,0.7,1.2,0.13,0.13,0.09,0.0,1.14,0.95,0.51,0.13,2.03,19.05,18.23,0.63,0.0,0.13,0.06,0.63,0.0,0.0,0.0,0.0,0.0,12.66,0.19,0.57,33,15,"1,423",0,1,0.19,0.32,0.19,0.32,0.49,0.13,0.61,0.44,0.56,0.19,0.0,1.14,2.03,6.14,45.5,42.4,32.72,1.14,3.23,12.59,17.72,6.84,32.66,2.09,0.95,0.89,18.99,83.48,29.87,1.14,0.63,0.76,3.54,1.33,24.81,6.14,41.1,3.54,1.45,0.05,0.13,13.1,0.0,0,1,7.7,6.9,0.12,-4.7,-3.9
Max Kilman,eng ENG,DF,Wolves,eng Premier League,26.0,1997.0,38.0,75.0,1.24,0.55,1.05,0.16,0.03,0.63,0.84,0.21,1.68,0.97,0.71,1.03,2.26,4.79,0.11,1.03,0.0,0.89,0.0,0.05,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,85.7,93.0,92.7,52.9,52.08,60.76,969.63,345.24,20.16,21.68,26.53,28.61,4.82,9.11,0.0,0.04,0.03,-0.04,0.45,2.87,0.29,0.03,3.08,60.76,59.08,1.45,1.0,0.05,0.53,0.16,0.21,0.0,0.0,0.0,0.0,52.08,0.24,0.34,38,38,"3,420",0,0,0.05,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08,0.18,0.0,0.58,3.08,0.13,62.5,18.8,71.21,11.87,38.89,29.21,3.5,0.79,71.21,0.42,0.26,0.08,41.63,191.47,108.08,0.58,0.45,0.03,0.21,0.26,49.39,0.13,35.7,0.37,0.13,0.14,0.4,9.8,0.0,0,0,1.8,1.8,0.13,0.2,0.2
Joshua Kimmich,de GER,"MF,DF",Bayern Munich,de Bundesliga,28.0,1995.0,24.2,66.7,1.86,1.36,1.03,0.62,0.21,1.07,1.61,0.54,1.32,0.17,1.16,0.58,2.44,1.16,0.04,5.29,0.45,3.26,1.78,0.08,0.08,0.04,0.04,0.25,0.12,0.04,0.04,0.0,0.0,86.1,93.6,91.1,58.4,80.62,93.68,1472.52,416.9,33.43,35.7,38.14,41.86,7.73,13.22,0.25,0.29,0.38,-0.05,2.98,7.77,2.11,0.74,9.46,93.68,81.94,11.28,3.1,0.45,0.62,8.06,3.18,5.0,1.69,2.36,0.08,80.62,0.45,0.83,28,27,"2,176",0,0,0.04,0.29,0.04,0.29,0.05,0.3,0.34,0.05,0.34,0.04,0.04,2.31,9.46,4.71,40.0,48.0,101.36,3.1,17.44,52.98,31.49,0.95,101.36,1.03,0.41,0.5,61.07,345.7,154.5,2.31,2.73,0.17,0.79,0.66,75.25,4.71,28.0,1.03,0.29,0.04,0.14,24.6,3.0,0,0,1.1,1.1,0.05,-0.1,-0.1
Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,23.0,2000.0,10.5,73.7,1.9,1.14,1.05,0.76,0.1,1.33,1.81,0.48,1.05,0.29,0.76,0.76,2.67,2.67,0.1,1.24,0.38,0.95,0.19,0.0,0.0,0.1,0.0,0.29,0.1,0.0,0.0,0.0,0.0,83.7,89.1,85.9,58.6,49.81,59.52,814.76,289.71,25.71,28.86,20.38,23.71,3.24,5.52,0.29,0.09,0.06,0.2,0.57,4.1,0.76,0.29,5.24,59.52,52.38,6.95,0.57,0.1,0.1,1.14,6.38,0.0,0.0,0.0,0.0,49.81,0.19,0.19,20,11,946,0,0,0.1,0.38,0.1,0.38,0.08,0.09,0.16,0.08,0.16,0.1,0.0,0.38,5.24,1.52,66.7,33.3,68.19,2.38,18.0,34.95,15.9,1.43,68.19,0.29,0.19,0.1,34.48,120.38,64.86,0.38,0.76,0.1,0.76,0.19,44.0,1.52,33.3,0.57,0.19,0.17,0.5,13.8,0.0,0,0,0.8,0.8,0.14,0.2,0.2
Simon Kjær,dk DEN,DF,Milan,it Serie A,34.0,1989.0,13.0,63.6,1.85,1.15,0.85,0.85,0.15,1.08,1.69,0.62,1.69,1.23,0.46,1.08,2.92,3.54,0.15,0.69,0.08,0.54,0.0,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,88.2,93.8,94.0,57.4,56.54,64.08,1065.85,386.54,19.77,21.08,31.46,33.46,4.77,8.31,0.08,0.06,0.05,0.02,0.31,3.23,0.08,0.0,4.0,64.08,62.08,2.0,1.54,0.0,0.31,0.08,0.15,0.0,0.0,0.0,0.0,56.54,0.0,0.15,20,14,"1,171",0,0,0.0,0.08,0.0,0.08,0.04,0.06,0.1,0.04,0.1,0.08,0.0,0.31,4.0,0.0,0.0,0.0,74.08,7.38,38.31,34.54,1.54,0.62,74.08,0.0,0.0,0.0,47.69,190.0,106.15,0.31,0.31,0.0,0.31,0.08,52.54,0.0,0.0,0.46,0.0,0.0,0.0,11.0,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5
Christoph Klarer,at AUT,DF,Darmstadt 98,de Bundesliga,23.0,2000.0,26.2,66.7,1.41,0.84,1.15,0.15,0.11,0.92,1.37,0.46,1.18,0.76,0.42,0.8,2.21,3.59,0.04,0.84,0.08,0.73,0.04,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,87.0,92.6,92.6,63.1,39.85,45.8,781.41,250.95,12.82,13.85,22.37,24.16,4.24,6.72,0.08,0.03,0.04,0.04,0.46,2.21,0.15,0.04,2.44,45.8,44.01,1.76,1.45,0.0,0.5,0.31,0.31,0.0,0.0,0.0,0.0,39.85,0.04,0.42,30,28,"2,354",0,0,0.08,0.15,0.08,0.15,0.05,0.04,0.08,0.05,0.08,0.34,0.0,0.34,2.44,0.42,85.7,14.3,54.96,6.98,29.31,22.52,3.36,1.22,54.96,0.27,0.23,0.04,30.0,131.79,67.79,0.34,0.27,0.08,0.23,0.23,37.71,0.42,22.2,0.34,0.08,0.22,1.0,9.3,0.0,0,0,1.2,1.2,0.13,0.8,0.8
Tim Kleindienst,de GER,FW,Heidenheim,de Bundesliga,27.0,1995.0,31.9,28.0,0.66,0.38,0.19,0.34,0.13,0.22,0.78,0.56,1.0,0.25,0.75,0.38,1.03,1.82,0.0,2.23,0.35,1.69,0.0,0.13,0.28,0.03,0.09,0.25,0.0,0.03,0.03,0.03,0.0,59.0,63.9,63.6,63.8,16.18,27.4,228.71,53.54,9.25,14.48,4.61,7.24,0.94,1.47,0.09,0.1,0.06,-0.01,0.85,1.82,0.31,0.06,2.29,27.4,25.96,1.35,0.0,0.06,0.22,0.6,0.34,0.0,0.0,0.0,0.0,16.18,0.09,1.57,33,33,"2,869",2,2,0.38,0.47,0.31,0.41,0.44,0.1,0.54,0.39,0.49,0.19,0.0,1.25,2.29,5.58,30.2,65.1,41.54,2.07,4.08,19.81,18.09,4.45,41.47,1.97,0.6,1.29,19.72,85.42,34.36,1.25,1.16,0.5,3.45,1.76,29.22,5.58,38.3,2.54,0.97,0.12,0.32,13.6,0.0,2,2,13.9,12.3,0.15,-1.9,-2.3
Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,27.0,1996.0,16.0,30.8,0.94,0.62,0.44,0.44,0.06,0.25,0.81,0.56,1.56,0.75,0.81,0.81,1.75,4.0,0.06,0.88,0.0,0.81,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.6,91.4,94.3,68.8,64.69,72.19,1202.19,393.31,21.25,23.25,38.12,40.44,4.81,7.0,0.0,0.02,0.06,-0.02,0.31,4.81,0.44,0.0,5.62,72.19,70.38,1.75,0.88,0.19,0.25,0.5,0.88,0.0,0.0,0.0,0.0,64.69,0.06,0.5,25,16,"1,436",0,0,0.06,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,0.19,0.0,0.88,5.62,0.81,0.0,100.0,81.56,6.31,28.5,48.62,4.62,0.44,81.56,0.06,0.0,0.06,51.38,228.44,127.38,0.88,0.56,0.0,0.25,0.0,58.5,0.81,33.3,0.38,0.13,0.17,0.5,16.2,0.0,0,0,0.7,0.7,0.12,0.3,0.3
Justin Kluivert,nl NED,"MF,FW",Bournemouth,eng Premier League,24.0,1999.0,21.3,26.7,1.31,0.66,0.23,0.56,0.52,0.38,1.41,1.03,0.75,0.05,0.7,0.38,1.69,0.52,0.0,2.77,0.23,1.74,0.0,0.42,0.28,0.19,0.14,0.14,0.0,0.05,0.0,0.0,0.05,68.4,75.8,75.9,56.3,13.52,19.77,206.24,56.01,6.9,9.11,4.88,6.43,0.85,1.5,0.05,0.09,0.08,-0.04,0.99,0.47,1.13,0.09,2.35,19.77,18.73,0.85,0.05,0.0,0.14,1.36,0.33,0.09,0.0,0.0,0.05,13.52,0.19,0.89,32,26,"1,916",0,0,0.33,0.38,0.33,0.38,0.29,0.09,0.38,0.29,0.38,0.23,0.0,3.05,2.35,5.35,35.8,61.2,32.58,0.61,4.04,10.52,18.64,5.07,32.58,3.15,1.13,1.92,19.44,137.56,77.18,3.05,1.74,1.64,2.35,1.41,20.75,5.35,35.7,2.63,0.94,0.13,0.35,17.4,3.0,0,0,6.2,6.2,0.11,0.8,0.8
Ansgar Knauff,de GER,"MF,DF",Eint Frankfurt,de Bundesliga,21.0,2002.0,23.4,54.8,1.84,1.11,0.73,0.68,0.43,0.73,1.32,0.6,1.71,0.13,1.58,0.85,2.69,0.64,0.0,2.6,0.26,2.18,0.0,0.26,0.09,0.0,0.09,0.21,0.0,0.0,0.0,0.0,0.04,63.6,77.2,65.3,43.3,20.3,31.92,301.84,97.35,11.71,15.17,6.84,10.47,1.11,2.56,0.09,0.1,0.12,-0.01,0.77,1.07,1.11,0.43,2.44,31.92,29.23,2.44,0.09,0.13,0.04,1.97,2.35,0.0,0.0,0.0,0.0,20.3,0.26,1.88,31,24,"2,109",0,0,0.3,0.38,0.3,0.38,0.24,0.1,0.34,0.24,0.34,0.3,0.04,3.29,2.44,7.01,39.1,51.6,44.4,0.85,7.69,19.36,18.12,4.32,44.4,2.74,1.07,1.41,23.08,152.09,80.81,3.29,1.45,1.62,1.88,1.11,26.11,7.01,35.1,1.58,0.55,0.19,0.54,14.4,0.0,0,0,5.7,5.7,0.15,1.3,1.3
Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,31.0,1992.0,21.3,63.3,1.6,1.03,1.27,0.33,0.0,0.89,1.41,0.52,1.27,0.89,0.38,0.61,2.21,3.43,0.0,0.61,0.0,0.42,0.05,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.7,87.6,88.9,52.5,43.71,54.13,868.08,331.64,12.63,14.41,25.31,28.45,5.02,9.58,0.0,0.01,0.02,-0.01,0.14,2.3,0.14,0.0,3.33,54.13,52.07,1.97,1.36,0.0,0.19,0.14,0.38,0.0,0.0,0.0,0.0,43.71,0.09,0.38,24,20,"1,917",0,1,0.05,0.05,0.05,0.05,0.06,0.01,0.07,0.02,0.03,0.05,0.0,0.09,3.33,0.09,60.0,20.0,63.0,6.34,33.76,28.22,1.5,0.66,62.96,0.23,0.14,0.05,33.47,165.82,90.66,0.09,0.19,0.0,0.75,0.0,36.95,0.09,42.9,0.33,0.14,0.14,0.33,13.3,0.0,0,1,1.2,0.4,0.06,-0.2,0.6
Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,25.0,1997.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.9,99.5,99.0,57.6,37.03,44.68,923.92,570.95,7.98,8.02,19.01,19.2,9.85,17.11,0.0,0.0,0.0,0.0,0.0,0.49,0.04,0.0,0.0,44.68,36.16,8.37,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03,0.15,0.0,27,27,"2,365",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,100.0,0.0,47.11,35.93,46.84,0.3,0.0,0.0,47.11,0.04,0.04,0.0,28.37,140.38,65.7,0.0,0.0,0.0,0.0,0.0,27.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Robin Koch,de GER,DF,Eint Frankfurt,de Bundesliga,27.0,1996.0,30.4,63.0,1.25,0.76,0.86,0.39,0.0,0.56,0.89,0.33,1.09,0.79,0.3,1.05,2.3,4.47,0.07,0.59,0.1,0.49,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,88.0,92.5,93.5,60.3,62.57,71.09,1203.82,420.23,19.41,20.99,37.66,40.3,5.2,8.62,0.0,0.01,0.02,-0.01,0.13,3.19,0.13,0.0,3.82,71.09,68.98,2.07,1.58,0.07,0.07,0.13,0.07,0.0,0.0,0.0,0.0,62.57,0.03,0.39,31,31,"2,738",0,0,0.07,0.07,0.07,0.07,0.1,0.01,0.11,0.1,0.11,0.33,0.0,0.46,3.82,0.1,50.0,50.0,81.22,11.61,40.2,39.11,2.24,1.05,81.22,0.13,0.07,0.07,50.0,233.85,134.9,0.46,0.49,0.0,0.3,0.07,57.4,0.1,20.8,0.79,0.16,0.08,0.4,11.3,0.0,0,0,3.1,3.1,0.13,-1.1,-1.1
Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,25.0,1998.0,22.0,100.0,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.09,0.23,0.14,0.14,0.0,0.09,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,71.8,100.0,99.2,46.2,21.77,30.32,592.27,423.05,3.68,3.68,10.82,10.91,7.23,15.64,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,30.32,22.0,8.27,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.77,0.05,0.0,22,22,"1,980",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,32.09,27.36,32.0,0.09,0.0,0.0,32.09,0.05,0.05,0.0,22.41,124.09,65.09,0.0,0.0,0.0,0.0,0.0,13.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Dominik Kohr,de GER,"DF,MF",Mainz 05,de Bundesliga,29.0,1994.0,24.3,63.2,2.67,1.73,1.48,1.03,0.16,1.48,2.35,0.86,1.11,0.25,0.86,1.77,4.44,2.39,0.0,1.15,0.0,0.91,0.0,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6,83.6,84.1,45.3,36.05,47.7,678.52,233.25,13.42,16.05,18.68,22.22,3.37,7.45,0.0,0.05,0.05,-0.05,0.62,3.58,0.62,0.21,4.07,47.7,45.6,1.93,1.65,0.0,0.29,0.91,0.25,0.0,0.0,0.0,0.0,36.05,0.16,1.11,31,27,"2,184",0,0,0.04,0.04,0.04,0.04,0.07,0.05,0.12,0.07,0.12,0.62,0.04,0.78,4.07,1.07,45.5,54.5,58.19,3.33,22.26,29.88,6.42,1.15,58.19,0.45,0.21,0.25,26.01,115.97,50.82,0.78,0.41,0.08,0.91,0.16,33.37,1.07,28.0,1.03,0.29,0.04,0.14,16.5,0.0,0,0,1.6,1.6,0.07,-0.6,-0.6
Koke,es ESP,MF,Atlético Madrid,es La Liga,31.0,1992.0,27.7,45.6,2.38,1.59,0.97,1.16,0.25,1.3,2.85,1.55,1.34,0.43,0.9,0.58,2.96,1.23,0.04,2.06,0.4,1.88,0.11,0.0,0.04,0.0,0.04,0.4,0.0,0.0,0.0,0.0,0.0,90.0,95.4,91.6,71.9,73.54,81.7,1194.01,384.8,38.48,40.32,26.14,28.52,6.28,8.74,0.14,0.13,0.11,0.01,0.94,7.08,1.19,0.04,7.65,81.7,78.81,2.42,2.31,0.51,1.12,0.4,0.07,0.04,0.0,0.04,0.0,73.54,0.47,0.69,35,32,"2,493",0,0,0.0,0.14,0.0,0.14,0.02,0.13,0.15,0.02,0.15,0.18,0.0,0.94,7.65,0.94,45.5,54.5,89.6,2.96,21.44,56.68,12.06,0.43,89.6,0.4,0.18,0.22,53.21,217.18,103.68,0.94,1.16,0.04,0.76,0.72,68.56,0.94,20.0,0.36,0.07,0.0,0.0,21.9,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4
Sead Kolašinac,ba BIH,DF,Atalanta,it Serie A,30.0,1993.0,24.2,61.2,1.82,1.32,0.95,0.79,0.08,1.24,2.02,0.79,0.91,0.37,0.54,0.87,2.69,1.94,0.0,0.99,0.04,0.74,0.0,0.12,0.08,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,84.3,91.4,87.7,47.7,44.5,52.81,690.17,249.55,24.09,26.36,17.89,20.41,1.69,3.55,0.0,0.05,0.02,-0.05,0.33,3.26,0.29,0.08,3.88,52.81,49.26,3.35,1.16,0.04,0.17,0.37,2.19,0.0,0.0,0.0,0.0,44.5,0.21,1.07,30,25,"2,178",0,0,0.04,0.04,0.04,0.04,0.06,0.04,0.1,0.06,0.1,0.17,0.0,1.32,3.88,1.24,77.8,0.0,60.83,3.1,25.08,29.59,6.65,1.12,60.83,0.37,0.29,0.0,30.95,142.19,79.21,1.32,0.99,0.21,0.79,0.37,38.26,1.24,38.5,0.54,0.21,0.08,0.2,12.3,0.0,0,0,1.3,1.3,0.1,-0.3,-0.3
Luca Koleosho,it ITA,"MF,FW",Burnley,eng Premier League,18.0,2004.0,10.8,20.0,0.65,0.37,0.19,0.46,0.0,0.19,0.93,0.74,1.2,0.0,1.2,0.19,0.83,0.0,0.0,2.59,0.56,1.11,0.0,1.02,0.19,0.28,0.0,0.19,0.0,0.28,0.0,0.09,0.0,70.1,82.4,70.9,22.2,17.78,25.37,232.31,43.98,11.67,14.17,5.19,7.31,0.19,0.83,0.09,0.12,0.1,-0.03,1.02,0.83,0.56,0.19,1.76,25.37,24.72,0.56,0.19,0.0,0.0,2.13,0.37,0.0,0.0,0.0,0.0,17.78,0.09,1.48,15,13,974,0,0,0.09,0.18,0.09,0.18,0.18,0.12,0.3,0.18,0.3,0.0,0.0,4.91,1.76,7.59,42.3,50.0,38.52,0.46,3.06,13.8,22.22,4.81,38.52,7.22,3.06,3.61,27.69,241.02,128.06,4.91,3.43,2.69,2.04,1.3,28.98,7.59,21.7,2.13,0.46,0.04,0.2,18.5,0.0,0,0,2.0,2.0,0.09,-1.0,-1.0
Randal Kolo Muani,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,24.0,1998.0,14.1,38.5,0.71,0.57,0.35,0.21,0.14,0.35,0.92,0.57,0.35,0.0,0.35,0.28,0.99,0.71,0.0,3.55,0.57,2.77,0.0,0.21,0.21,0.35,0.0,0.5,0.0,0.07,0.0,0.0,0.0,72.1,77.0,76.2,57.1,18.37,25.46,265.89,69.5,11.13,14.47,5.46,7.16,0.85,1.49,0.35,0.23,0.11,0.12,1.84,1.63,0.99,0.21,2.98,25.46,25.11,0.28,0.0,0.07,0.0,0.64,0.0,0.0,0.0,0.0,0.0,18.37,0.07,1.21,26,13,"1,268",0,0,0.43,0.78,0.43,0.78,0.43,0.23,0.66,0.43,0.66,0.07,0.0,2.55,2.98,8.87,38.9,55.6,38.65,1.06,3.97,14.54,20.78,5.18,38.65,5.11,1.99,2.84,30.64,192.2,78.37,2.55,1.28,1.13,3.69,1.49,29.93,8.87,54.5,1.56,0.85,0.27,0.5,11.0,0.0,0,0,6.1,6.1,0.28,-0.1,-0.1
